iter	Passed	Remaining
404	12956	19035
405	12993	19009
406	13024	18976
407	13048	18933
408	13083	18905
409	13114	18871
410	13145	18838
411	13173	18800
412	13201	18763
413	13226	18722
414	13259	18691
415	13295	18664
416	13328	18634
417	13360	18602
418	13404	18586
419	13437	18557
420	13465	18518
421	13492	18479
422	13520	18442
423	13548	18406
424	13574	18364
425	13601	18326
426	13629	18289
427	13659	18255
428	13690	18222
429	13723	18191
430	13749	18152
431	13778	18116
432	13817	18093
433	13847	18058
434	13876	18023
435	13906	17989
436	13935	17953
437	13972	17928
438	14000	17891
439	14029	17855
440	14058	17820
441	14085	17781
442	14118	17752
443	14148	17718
444	14174	17678
445	14207	17648
446	14238	17614
447	14272	17585
448	14301	17550
449	14329	17514
450	14357	17477
451	14392	17448
452	14420	17412
453	14444	17371
454	14470	17332
455	14499	17297
456	14533	17268
457	14568	17240
458	14599	17207
459	14630	17174
460	14659	17139
461	14691	17108
462	14725	17078
463	14756	17045
464	14787	17013
465	14814	16975
466	14849	16948
467	14880	16915
468	14911	16882
469	14943	16850
470	14978	16822
471	15007	16788
472	15039	16756
473	15068	16721
474	15098	16687
475	15129	16655
476	15159	16621
477	15197	16596
478	15229	16565
479	15263	16535
480	15290	16498
481	15325	16469
482	15351	16432
483	15386	16403
484	15421	16375
485	15450	16340
486	15486	16312
487	15518	16281
488	15549	16249
489	15586	16222
490	15624	16197
491	15667	16177
492	15701	16147
493	15727	16109
494	15753	16071
495	15784	16038
496	15820	16011
497	15851	15979
498	15886	15949
499	15924	15924
500	15958	15894
501	15988	15860
502	16027	15836
503	16071	15816
504	16105	15786
505	16142	15759
506	16175	15728
507	16211	15700
508	16244	15669
509	16279	15640
510	16315	15613
511	16354	15588
512	16397	15566
513	16430	15535
514	16461	15503
515	16498	15475
516	16529	15442
517	16561	15410
518	16600	15385
519	16633	15354
520	16663	15319
521	16704	15296
522	16742	15270
523	16779	15242
524	16813	15212
525	16846	15180
526	16886	15156
527	16935	15138
528	16974	15113
529	17100	15164
530	17153	15150
531	17202	15133
532	17242	15107
533	17273	15073
534	17324	15057
535	17371	15038
536	17415	15015
537	17449	14984
538	17488	14957
539	17519	14923
540	17542	14883
541	17583	14858
542	17613	14823
543	17640	14787
544	17666	14749
545	17698	14715
546	17730	14683
547	17764	14652
548	17796	14619
549	17834	14591
550	17868	14560
551	17898	14526
552	17930	14493
553	17965	14462
554	18001	14433
555	18045	14410
556	18082	14381
557	18113	14347
558	18145	14314
559	18186	14289
560	18224	14261
561	18257	14229
562	18289	14196
563	18325	14166
564	18360	14135
565	18396	14105
566	18433	14077
567	18466	14044
568	18497	14011
569	18530	13979
570	18564	13948
571	18597	13915
572	18629	13882
573	18663	13851
574	18690	13814
575	18719	13779
576	18747	13743
577	18778	13709
578	18810	13677
579	18845	13646
580	18885	13619
581	18919	13588
582	18947	13552
583	18982	13521
584	19022	13494
585	19051	13459
586	19086	13428
587	19125	13401
588	19169	13376
589	19206	13347
590	19238	13314
591	19274	13283
592	19311	13254
593	19342	13220
594	19376	13188
595	19419	13163
596	19454	13132
597	19493	13104
598	19530	13074
599	19562	13041
600	19596	13009
601	19642	12986
602	19680	12957
603	19756	12952
604	19799	12927
605	19837	12897
606	19870	12865
607	19908	12835
608	19939	12801
609	19966	12765
610	19996	12731
611	20034	12701
612	20063	12666
613	20092	12631
614	20124	12598
615	20155	12564
616	20192	12534
617	20236	12508
618	20272	12478
619	20311	12448
620	20348	12418
621	20382	12386
622	20419	12356
623	20457	12327
624	20491	12294
625	20521	12260
626	20562	12232
627	20595	12200
628	20625	12165
629	20654	12130
630	20682	12094
631	20719	12064
632	20759	12035
633	20796	12005
634	20827	11971
635	20861	11939
636	20887	11902
637	20916	11868
638	20950	11835
639	20978	11800
640	21005	11764
641	21039	11732
642	21072	11699
643	21108	11668
644	21144	11637
645	21176	11604
646	21213	11574
647	21244	11540
648	21277	11507
649	21307	11473
650	21345	11443
651	21375	11409
652	21409	11377
653	21446	11346
654	21476	11312
655	21508	11278
656	21542	11246
657	21585	11219
658	21620	11187
659	21654	11155
660	21684	11120
661	21714	11086
662	21753	11057
663	21783	11022
664	21819	10991
665	21854	10960
666	21883	10925
667	21913	10890
668	21945	10857
669	21987	10829
670	22020	10797
671	22056	10765
672	22087	10731
673	22119	10698
674	22154	10667
675	22187	10634
676	22213	10598
677	22242	10563
678	22278	10532
679	22321	10504
680	22351	10470
681	22387	10438
682	22421	10406
683	22465	10378
684	22502	10347
685	22535	10315
686	22570	10283
687	22603	10250
688	22637	10218
689	22665	10183
690	22698	10150
691	22731	10117
692	22766	10085
693	22798	10052
694	22829	10018
695	22858	9984
696	22894	9952
697	22934	9922
698	22965	9889
699	23000	9857
700	23031	9823
701	23060	9789
702	23090	9755
703	23122	9721
704	23155	9689
705	23186	9655
706	23219	9622
707	23256	9591
708	23293	9560
709	23330	9529
710	23361	9495
711	23399	9464
712	23429	9430
713	23462	9398
714	23501	9367
715	23535	9335
716	23578	9306
717	23608	9272
718	23641	9239
719	23673	9206
720	23704	9172
721	23737	9139
722	23770	9107
723	23793	9070
724	23825	9037
725	23862	9006
726	23896	8973
727	23922	8938
728	23957	8906
729	23987	8871
730	24018	8838
731	24047	8804
732	24074	8769
733	24110	8737
734	24143	8704
735	24178	8672
736	24213	8640
737	24253	8610
738	24284	8576
739	24316	8543
740	24347	8510
741	24378	8476
742	24406	8442
743	24439	8409
744	24473	8376
745	24505	8343
746	24535	8309
747	24567	8276
748	24606	8245
749	24631	8210
750	24665	8178
751	24697	8144
752	24726	8110
753	24755	8076
754	24795	8046
755	24826	8012
756	24861	7980
757	24891	7946
758	24925	7914
759	24953	7880
760	24987	7847
761	25014	7813
762	25045	7779
763	25078	7746
764	25107	7712
765	25146	7681
766	25174	7647
767	25203	7613
768	25236	7580
769	25267	7547
770	25300	7514
771	25338	7483
772	25373	7451
773	25400	7416
774	25431	7383
775	25463	7350
776	25500	7318
777	25528	7284
778	25561	7251
779	25589	7217
780	25618	7183
781	25649	7150
782	25682	7117
783	25713	7084
784	25749	7052
785	25782	7019
786	25811	6985
787	25837	6951
788	25864	6916
789	25898	6884
790	25930	6851
791	25961	6818
792	25993	6785
793	26027	6752
794	26058	6719
795	26088	6685
796	26122	6653
797	26158	6621
798	26185	6587
799	26217	6554
800	26248	6521
801	26281	6488
802	26320	6457
803	26356	6425
804	26395	6394
805	26425	6360
806	26458	6327
807	26484	6293
808	26516	6260
809	26542	6226
810	26567	6191
811	26586	6155
812	26604	6119
813	26621	6082
814	26635	6046
815	26651	6009
816	26668	5973
817	26685	5937
818	26708	5902
819	26731	5867
820	26752	5832
821	26770	5797
822	26786	5760
823	26811	5726
824	26829	5691
825	26848	5655
826	26876	5622
827	26897	5587
828	26920	5552
829	26944	5518
830	26967	5484
831	26991	5450
832	27016	5416
833	27037	5381
834	27060	5347
835	27083	5313
836	27103	5278
837	27121	5243
838	27138	5207
839	27153	5172
840	27171	5137
841	27192	5102
842	27211	5067
843	27227	5032
844	27242	4997
845	27260	4962
846	27277	4927
847	27293	4892
848	27308	4856
849	27323	4821
850	27340	4786
851	27357	4752
852	27371	4717
853	27387	4682
854	27404	4647
855	27422	4613
856	27439	4578
857	27452	4543
858	27468	4508
859	27486	4474
860	27509	4441
861	27529	4407
862	27545	4372
863	27565	4339
864	27588	4305
865	27612	4272
866	27637	4239
867	27660	4206
868	27678	4172
869	27696	4138
870	27715	4104
871	27734	4071
872	27752	4037
873	27768	4003
874	27789	3969
875	27808	3936
876	27827	3902
877	27855	3870
878	27877	3837
879	27894	3803
880	27914	3770
881	27942	3738
882	27958	3704
883	27976	3671
884	27995	3637
885	28012	3604
886	28030	3570
887	28045	3537
888	28060	3503
889	28076	3470
890	28093	3436
891	28115	3404
892	28137	3371
893	28158	3338
894	28174	3305
895	28190	3272
896	28205	3238
897	28220	3205
898	28237	3172
899	28255	3139
900	28274	3106
901	28290	3073
902	28310	3041
903	28330	3008
904	28348	2975
905	28364	2942
906	28381	2910
907	28398	2877
908	28414	2844
909	28432	2812
910	28447	2779
911	28464	2746
912	28482	2714
913	28498	2681
914	28512	2648
915	28528	2616
916	28542	2583
917	28557	2550
918	28574	2518
919	28590	2486
920	28605	2453
921	28623	2421
922	28639	2389
923	28654	2356
924	28667	2324
925	28681	2292
926	28695	2259
927	28710	2227
928	28724	2195
929	28736	2162
930	28750	2130
931	28764	2098
932	28777	2066
933	28790	2034
934	28803	2002
935	28816	1970
936	28832	1938
937	28846	1906
938	28861	1874
939	28875	1843
940	28888	1811
941	28903	1779
942	28918	1747
943	28932	1716
944	28945	1684
945	28961	1653
946	28974	1621
947	28988	1590
948	29001	1558
949	29014	1527
950	29027	1495
951	29041	1464
952	29055	1432
953	29068	1401
954	29080	1370
955	29092	1338
956	29104	1307
957	29116	1276
958	29128	1245
959	29140	1214
960	29152	1183
961	29163	1152
962	29175	1120
963	29187	1089
964	29198	1059
965	29222	1028
966	29233	997
967	29246	966
968	29258	936
969	29269	905
970	29281	874
971	29293	843
972	29304	813
973	29317	782
974	29328	752
975	29340	721
976	29351	690
977	29362	660
978	29373	630
979	29384	599
980	29394	569
981	29405	539
982	29417	508
983	29428	478
984	29439	448
985	29451	418
986	29462	388
987	29473	357
988	29490	328
989	29501	297
990	29513	268
991	29526	238
992	29536	208
993	29548	178
994	29559	148
995	29570	118
996	29582	89
997	29592	59
998	29603	29
999	29615	0
