iter	Logloss
0	0.6726106714
1	0.6536873378
2	0.6368705387
3	0.6224114151
4	0.6062820275
5	0.5912576766
6	0.5784013153
7	0.5681627894
8	0.5568271109
9	0.5473199085
10	0.5390048321
11	0.5290505064
12	0.5186824271
13	0.5109000405
14	0.5041637905
15	0.4964416697
16	0.4897800742
17	0.4835495278
18	0.4761980789
19	0.4699378212
20	0.4645355941
21	0.4592476526
22	0.4535670782
23	0.448539837
24	0.4444390261
25	0.4409724672
26	0.436293714
27	0.4326012223
28	0.4292049969
29	0.4259092753
30	0.4235027522
31	0.4205615189
32	0.4175239795
33	0.4148114692
34	0.41203947
35	0.4095626718
36	0.4072832536
37	0.4047126841
38	0.4022724946
39	0.3996177486
40	0.39710688
41	0.3945232117
42	0.3924173892
43	0.3903276914
44	0.3883392186
45	0.3864767345
46	0.3846674547
47	0.3832308505
48	0.3817829439
49	0.3798084541
50	0.3781228871
51	0.3765553307
52	0.3745786015
53	0.3731853546
54	0.3712247404
55	0.3696249025
56	0.368479415
57	0.3672978523
58	0.3660517001
59	0.3642530244
60	0.362927904
61	0.3618363446
62	0.3607459747
63	0.3597631282
64	0.3584351325
65	0.3574390813
66	0.3562941105
67	0.3551767855
68	0.3541608659
69	0.3531992342
70	0.3523276137
71	0.3512450264
72	0.35002792
73	0.3492196488
74	0.3480067276
75	0.347185605
76	0.3461179173
77	0.3449630596
78	0.3439875193
79	0.3429880394
80	0.342315765
81	0.3415493889
82	0.3404438817
83	0.3396003904
84	0.3390694573
85	0.3382895455
86	0.3375500702
87	0.3364502968
88	0.3358299846
89	0.3349589013
90	0.334228926
91	0.333583042
92	0.332832806
93	0.3322433251
94	0.3315765912
95	0.3308924299
96	0.3300173409
97	0.3292727546
98	0.3286453809
99	0.3277941835
100	0.3270735526
101	0.3263850458
102	0.3259177511
103	0.3252260378
104	0.3244278746
105	0.3237775684
106	0.3231166142
107	0.3226990259
108	0.3221815308
109	0.3215259064
110	0.3208651529
111	0.3203864649
112	0.3199276635
113	0.3194949683
114	0.3191143614
115	0.3183408031
116	0.3176313183
117	0.317114109
118	0.3166081978
119	0.3157955472
120	0.31514718
121	0.3145000346
122	0.3139769533
123	0.3134649513
124	0.312953234
125	0.3124120226
126	0.3119705295
127	0.3112947889
128	0.3107082834
129	0.3101507538
130	0.3097868354
131	0.3094302215
132	0.3089919105
133	0.308535318
134	0.3080621211
135	0.3076465528
136	0.3070300196
137	0.3065816561
138	0.3061365461
139	0.3056603004
140	0.3050814647
141	0.3045819729
142	0.3039654863
143	0.3033773
144	0.3029665111
145	0.3025738006
146	0.3020928701
147	0.3017523324
148	0.3012121905
149	0.3007400151
150	0.3002319742
151	0.2998848624
152	0.2994012614
153	0.2988537802
154	0.2984958713
155	0.2980820553
156	0.2977780185
157	0.2973235925
158	0.2969608356
159	0.2966121326
160	0.2962648263
161	0.2957770938
162	0.2952580577
163	0.294660959
164	0.2942751672
165	0.2938816191
166	0.2935139961
167	0.2931511835
168	0.2927302697
169	0.2923606572
170	0.2921122911
171	0.2918340093
172	0.2915207915
173	0.291147139
174	0.2906556243
175	0.2902943712
176	0.2898592251
177	0.289598611
178	0.2892249107
179	0.2889127085
180	0.2884967702
181	0.2881472771
182	0.2879269054
183	0.2877480787
184	0.2874305214
185	0.2870802088
186	0.2866626768
187	0.2862672162
188	0.2860018572
189	0.2857204726
190	0.2853968702
191	0.2850691598
192	0.2847658335
193	0.284395176
194	0.2841591117
195	0.283792476
196	0.2834723101
197	0.2831046704
198	0.2827179769
199	0.2824659431
200	0.2821050446
201	0.2817362036
202	0.2813207785
203	0.2809302899
204	0.280743658
205	0.2804927939
206	0.2801185295
207	0.2798528851
208	0.2795185749
209	0.279207124
210	0.2789937989
211	0.2786671359
212	0.2783432949
213	0.2779488582
214	0.2776375833
215	0.2774078265
216	0.2770378502
217	0.2766724443
218	0.2762909218
219	0.276011301
220	0.2756786057
221	0.2754797469
222	0.2751473082
223	0.2748337202
224	0.2745309708
225	0.2742483215
226	0.2739224824
227	0.2736751297
228	0.2733637796
229	0.2730108299
230	0.2727440338
231	0.2723912569
232	0.2720846214
233	0.2718652199
234	0.2716853537
235	0.2715122412
236	0.2712897286
237	0.2709455434
238	0.2707157627
239	0.2704991344
240	0.2702751992
241	0.2700751358
242	0.269804399
243	0.2694399047
244	0.2692184097
245	0.2688951658
246	0.2686258699
247	0.2683606804
248	0.268110218
249	0.2677530439
250	0.2674672725
251	0.2671935992
252	0.2669164424
253	0.2666882095
254	0.2664999851
255	0.2663459986
256	0.2661846421
257	0.2659460077
258	0.2655601249
259	0.2652568257
260	0.2649066109
261	0.2646544469
262	0.264461004
263	0.264178472
264	0.2639636828
265	0.2638076786
266	0.2634764085
267	0.2632424658
268	0.2630078809
269	0.2626646561
270	0.2624803038
271	0.2623229075
272	0.2620563211
273	0.261842721
274	0.261549852
275	0.2613203631
276	0.261112746
277	0.260980026
278	0.2606523819
279	0.2604644837
280	0.2601429585
281	0.2598916207
282	0.2596943308
